contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,spot,download_timestamp,mid_price,bid_ask_spread,relative_spread,moneyness,log_moneyness,time_to_expiry,days_to_expiry,price_lower_bound,price_upper_bound,passes_price_bounds,calculated_implied_volatility
SPY260731P00661000,2026-07-24 19:54:39+00:00,661.0,0.11,0.1,0.11,-0.08,-42.105263,157.0,354,0.344733115234375,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.105,0.0099999999999999,0.0952380952380951,0.8945366949508073,-0.1114493540119412,0.0170623064188229,6.22774184287037,0.0,660.5490265287425,True,0.3651633628865591
SPY260731P00662000,2026-07-24 19:46:24+00:00,662.0,0.12,0.11,0.12,-0.11000001,-47.82609,21.0,410,0.3442448388671875,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.1149999999999999,0.0099999999999999,0.0869565217391304,0.8958900031126088,-0.1099376379266193,0.0170623064188229,6.22774184287037,0.0,661.5483442693306,True,0.3649982161440448
SPY260731P00663000,2026-07-24 14:19:43+00:00,663.0,0.13,0.11,0.12,-0.060000002,-31.578949,13.0,377,0.3398503515625,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.1149999999999999,0.0099999999999999,0.0869565217391304,0.8972433112744104,-0.108428203677765,0.0170623064188229,6.22774184287037,0.0,662.5476620099188,True,0.3606153338220622
SPY260731P00664000,2026-07-24 19:48:00+00:00,664.0,0.12,0.11,0.12,-0.080000006,-40.000004,3.0,878,0.335944140625,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.1149999999999999,0.0099999999999999,0.0869565217391304,0.8985966194362118,-0.1069210443871937,0.0170623064188229,6.22774184287037,0.0,663.5469797505068,True,0.356233694815468
SPY260731P00665000,2026-07-24 19:58:16+00:00,665.0,0.11,0.12,0.13,-0.099999994,-47.619045,109.0,4494,0.3354558642578125,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.125,0.01,0.08,0.8999499275980134,-0.1054161532077734,0.0170623064188229,6.22774184287037,0.0,664.546297491095,True,0.3556756185006965
SPY260731P00666000,2026-07-24 20:03:42+00:00,666.0,0.14,0.12,0.13,-0.06999999,-33.333332,81.0,698,0.331061376953125,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.125,0.01,0.08,0.901303235759815,-0.1039135233232383,0.0170623064188229,6.22774184287037,0.0,665.5456152316831,True,0.3512581887747179
SPY260731P00667000,2026-07-24 15:51:52+00:00,667.0,0.11,0.12,0.13,0.019999996,22.222216,41.0,390,0.327155166015625,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.125,0.01,0.08,0.9026565439216164,-0.1024131479480038,0.0170623064188229,6.22774184287037,0.0,666.5449329722712,True,0.3468416298351724
SPY260731P00668000,2026-07-24 19:39:52+00:00,668.0,0.15,0.13,0.14,-0.06999999,-31.818178,13.0,416,0.32617861328125,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.135,0.01,0.0740740740740741,0.904009852083418,-0.1009150203269818,0.0170623064188229,6.22774184287037,0.0,667.5442507128593,True,0.345937846649845
SPY260731P00669000,2026-07-24 18:38:04+00:00,669.0,0.17,0.13,0.14,-0.060000002,-26.086956,22.0,552,0.3217841259765625,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.135,0.01,0.0740740740740741,0.9053631602452196,-0.0994191337353991,0.0170623064188229,6.22774184287037,0.0,668.5435684534474,True,0.3414867822158113
SPY260731P00670000,2026-07-24 20:14:39+00:00,670.0,0.14,0.14,0.15,-0.060000002,-30.000002,6653.0,8407,0.3203192968749999,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.145,0.0099999999999999,0.0689655172413791,0.906716468407021,-0.0979254814786158,0.0170623064188229,6.22774184287037,0.0,669.5428861940355,True,0.3403086221416518
SPY260731P00671000,2026-07-23 17:45:28+00:00,671.0,0.25,0.14,0.15,0.0,0.0,8.0,591,0.3164130859374999,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.145,0.0099999999999999,0.0689655172413791,0.9080697765688226,-0.0964340568919457,0.0170623064188229,6.22774184287037,0.0,670.5422039346237,True,0.3358242815586821
SPY260731P00672000,2026-07-23 18:17:15+00:00,672.0,0.25,0.14,0.15,0.0,0.0,56.0,455,0.3120185986328124,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.145,0.0099999999999999,0.0689655172413791,0.909423084730624,-0.094944853340478,0.0170623064188229,6.22774184287037,0.0,671.5415216752118,True,0.3313401179269663
SPY260731P00673000,2026-07-24 18:24:59+00:00,673.0,0.15,0.15,0.16,-0.15,-50.0,2.0,159,0.3105537695312499,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.155,0.01,0.0645161290322581,0.9107763928924256,-0.0934578642188997,0.0170623064188229,6.22774184287037,0.0,672.5408394157998,True,0.3298830687070033
SPY260731P00674000,2026-07-24 15:41:36+00:00,674.0,0.12,0.15,0.16,-0.13,-52.0,3.0,312,0.3061592822265625,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.155,0.01,0.0645161290322581,0.9121297010542272,-0.0919730829513205,0.0170623064188229,6.22774184287037,0.0,673.540157156388,True,0.3253662622255757
SPY260731P00675000,2026-07-24 19:21:39+00:00,675.0,0.21,0.16,0.17,-0.060000017,-22.222229,139.0,7510,0.304694453125,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.165,0.01,0.0606060606060606,0.9134830092160288,-0.0904905029910977,0.0170623064188229,6.22774184287037,0.0,674.5394748969761,True,0.323686929634573
SPY260731P00676000,2026-07-24 19:31:43+00:00,676.0,0.19,0.17,0.18,-0.099999994,-34.482758,22.0,444,0.30274134765625,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.175,0.0099999999999999,0.057142857142857,0.9148363173778302,-0.0890101178206634,0.0170623064188229,6.22774184287037,0.0,675.5387926375643,True,0.3218348972764862
SPY260731P00677000,2026-07-24 19:29:40+00:00,677.0,0.21,0.17,0.18,-0.07000001,-25.000004,77.0,567,0.2983468603515624,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.175,0.0099999999999999,0.057142857142857,0.9161896255396316,-0.0875319209513525,0.0170623064188229,6.22774184287037,0.0,676.5381103781523,True,0.3172555804363525
SPY260731P00678000,2026-07-24 19:29:36+00:00,678.0,0.22,0.18,0.19,-0.08000001,-26.666672,32.0,705,0.2963937548828125,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.185,0.01,0.0540540540540541,0.9175429337014332,-0.0860559059232319,0.0170623064188229,6.22774184287037,0.0,677.5374281187404,True,0.3152155420277296
SPY260731P00679000,2026-07-24 19:49:45+00:00,679.0,0.19,0.18,0.19,-0.21000001,-52.500004,113.0,779,0.2919992675781249,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.185,0.01,0.0540540540540541,0.9188962418632348,-0.0845820663049314,0.0170623064188229,6.22774184287037,0.0,678.5367458593286,True,0.3106054868921684
SPY260731P00680000,2026-07-24 20:09:19+00:00,680.0,0.2,0.19,0.2,-0.07000001,-25.925928,352.0,11654,0.2900461621093749,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.195,0.01,0.0512820512820513,0.9202495500250364,-0.0831103956934751,0.0170623064188229,6.22774184287037,0.0,679.5360635999167,True,0.3083910863059982
SPY260731P00681000,2026-07-24 19:53:55+00:00,681.0,0.21,0.2,0.21,-0.09000002,-30.000004,5.0,21706,0.2876047802734374,False,REGULAR,USD,SPY,put,2026-07-31,738.93,2026-07-25T14:32:03.104776+00:00,0.205,0.0099999999999999,0.0487804878048779,0.9216028581868376,-0.0816408877141152,0.0170623064188229,6.22774184287037,0.0,680.5353813405047,True,0.306042547356234
