contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,spot,download_timestamp,mid_price,bid_ask_spread,relative_spread,moneyness,log_moneyness
SPY260821C00698000,2026-07-14 17:53:10+00:00,698.0,60.03,53.07,55.07,0.0,0.0,3.0,18,0.2974008248901366,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,54.07,2.0,0.036989088218975404,0.9375175333159647,-0.06451981910875956
SPY260821C00699000,2026-07-13 18:11:01+00:00,699.0,55.84,51.86,53.86,0.0,0.0,1.0,2,0.2903818521118163,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,52.86,2.0,0.037835792659856225,0.9388606816444975,-0.0630881796373218
SPY260821C00700000,2026-07-20 20:13:00+00:00,700.0,48.38,50.93,51.07,0.0,0.0,52.0,8392,0.2584913018798829,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,51.0,0.14000000000000057,0.0027450980392156976,0.9402038299730304,-0.0616585868277274
SPY260821C00701000,2026-07-17 18:08:08+00:00,701.0,50.2,49.89,51.5,0.0,0.0,4.0,119,0.2773509765624999,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,50.695,1.6099999999999994,0.03175855607061839,0.9415469783015633,-0.060231034836542005
SPY260821C00702000,2026-07-20 19:25:52+00:00,702.0,46.8,49.14,51.26,0.0,0.0,4.0,39,0.2850565879821776,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,50.2,2.1199999999999974,0.0422310756972111,0.9428901266300963,-0.05880551784532088
SPY260821C00703000,2026-07-07 15:04:46+00:00,703.0,50.55,48.02,49.67,0.0,0.0,1.0,22,0.2724071783447265,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,48.845,1.6499999999999986,0.033780325519500436,0.9442332749586292,-0.05738203006046711
SPY260821C00704000,2026-07-15 15:49:31+00:00,704.0,53.35,45.81,49.07,0.0,0.0,1.0,74,0.2745739047241211,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,47.44,3.259999999999998,0.06871838111298478,0.9455764232871621,-0.05596056571308963
SPY260821C00705000,2026-07-20 19:29:31+00:00,705.0,44.16,46.35,47.98,0.0,0.0,136.0,2107,0.2693859683227538,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,47.165,1.6299999999999955,0.034559525071557205,0.946919571615695,-0.05454111905886339
SPY260821C00706000,2026-07-08 20:00:17+00:00,706.0,46.75,45.35,46.98,0.0,0.0,2.0,51,0.2655407919311523,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,46.165,1.6299999999999955,0.035308133867648556,0.9482627199442278,-0.05312368437788999
SPY260821C00707000,2026-07-17 14:45:44+00:00,707.0,46.05,43.71,45.79,0.0,0.0,2.0,21,0.2589185437011719,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,44.75,2.0799999999999983,0.04648044692737426,0.9496058682727607,-0.05170825597455933
SPY260821C00708000,2026-07-16 19:53:33+00:00,708.0,48.14,42.35,44.01,0.0,0.0,4.0,205,0.2435683554077148,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,43.18,1.6599999999999966,0.038443723946271345,0.9509490166012937,-0.050294828177412224
SPY260821C00709000,2026-07-20 14:18:22+00:00,709.0,42.98,41.78,44.85,0.0,0.0,21.0,538,0.2663342410278321,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,43.315,3.0700000000000003,0.07087613990534458,0.9522921649298266,-0.0488833953390045
SPY260821C00710000,2026-07-20 20:13:00+00:00,710.0,39.54,41.83,42.2,0.0,0.0,10.0,3794,0.2387771435546875,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,42.015,0.37000000000000455,0.008806378674283102,0.9536353132583595,-0.04747395183577092
SPY260821C00711000,2026-07-17 19:59:38+00:00,711.0,40.88,40.03,42.05,0.0,0.0,1.0,118,0.2471083590698242,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,41.04,2.019999999999996,0.04922027290448334,0.9549784615868924,-0.04606649206789116
SPY260821C00712000,2026-07-17 19:33:10+00:00,712.0,39.41,38.64,41.99,0.0,0.0,1.0,82,0.256294058227539,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,40.315,3.3500000000000014,0.0830956219769317,0.9563216099154253,-0.04466101045915629
SPY260821C00713000,2026-07-17 18:28:37+00:00,713.0,39.87,37.98,40.74,0.0,0.0,2.0,107,0.2488173263549805,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,39.36,2.760000000000005,0.07012195121951233,0.9576647582439581,-0.043257501456836135
SPY260821C00714000,2026-07-17 18:49:37+00:00,714.0,38.49,38.95,40.61,0.0,0.0,6.0,7,0.2566297482299804,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,39.78,1.6599999999999966,0.041729512317747526,0.959007906572491,-0.04185595953154771
SPY260821C00715000,2026-07-20 19:15:06+00:00,715.0,35.05,37.45,37.81,0.0,0.0,5.0,1752,0.2279435116577148,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,37.63,0.35999999999999943,0.009566834972096715,0.960351054901024,-0.04045637917712434
SPY260821C00716000,2026-07-20 19:51:42+00:00,716.0,34.76,36.64,38.61,0.0,0.0,8.0,101,0.2483748258972168,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,37.625,1.9699999999999989,0.05235880398671093,0.9616942032295569,-0.039058754910486396
SPY260821C00717000,2026-07-15 17:50:21+00:00,717.0,43.93,34.53,37.29,0.0,0.0,3.0,17,0.239967317199707,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,35.91,2.759999999999998,0.07685881370091892,0.9630373515580898,-0.03766308127151167
SPY260821C00718000,2026-07-17 19:24:30+00:00,718.0,34.1,34.81,36.35,0.0,0.0,20.0,21,0.2366104171752929,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,35.58,1.5399999999999991,0.043282743114109026,0.9643804998866227,-0.036269352822907865
SPY260821C00719000,2026-07-17 19:50:59+00:00,719.0,33.91,34.02,34.49,0.0,0.0,2.0,31,0.2210160906982421,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,34.255,0.46999999999999886,0.013720624726317292,0.9657236482151556,-0.034877564150085374
SPY260821C00720000,2026-07-21 13:30:17+00:00,720.0,34.21,33.28,33.41,2.7599983,8.775828,188.0,5074,0.215828154296875,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,33.345,0.12999999999999545,0.0038986354775827096,0.9670667965436884,-0.033487709861031084
SPY260821C00721000,2026-07-17 19:38:29+00:00,721.0,31.97,31.45,32.91,0.0,0.0,12.0,46,0.2182390188598632,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,32.18,1.4599999999999973,0.04536979490366679,0.9684099448722214,-0.03209978458618291
SPY260821C00722000,2026-07-20 19:15:58+00:00,722.0,29.63,31.49,33.07,0.0,0.0,2.0,83,0.2289810989379883,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,32.28,1.5800000000000018,0.048946716232961644,0.9697530932007543,-0.03071378297830577
SPY260821C00723000,2026-07-17 14:58:15+00:00,723.0,32.02,29.76,32.92,0.0,0.0,30.0,52,0.2354202435302734,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,31.340000000000003,3.16,0.10082961072112316,0.9710962415292872,-0.02932969971236733
SPY260821C00724000,2026-07-17 19:24:14+00:00,724.0,29.19,28.93,30.41,0.0,0.0,28.0,121,0.2119219433593749,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,29.67,1.4800000000000004,0.049882035726322896,0.9724393898578201,-0.027947529485415668
SPY260821C00725000,2026-07-20 19:52:04+00:00,725.0,27.28,28.99,30.52,0.0,0.0,53.0,3292,0.2215348843383788,True,REGULAR,USD,SPY,call,2026-08-21,744.5194091796875,2026-07-21T13:48:04.398522+00:00,29.755,1.5300000000000011,0.051419929423626325,0.973782538186353,-0.026567267016457275
